"","unique_event_ID","same_whale_ID","ship","observer_location","count","ship_speed","distance","whale_behavior","visibility","waves","X_whale_UTM","Y_whale_UTM","wind","ship_whale_bearing","ship_speed_scaled","count_factor"
"1","2008-05-06-N-005","2008-05-06-N-005","Veendam","Port",1,16.80260678,1357.990972,"BL-Blowing","excellent","calm",419124.7731,6517131.57,"light",13.82708124,0.654526492224477,"1"
"2","2008-05-08-N-006","2008-05-08-N-006","Norwegian Pearl","Starboard",1,16.07088876,3646.232984,"DF-Dive-fluke-up","excellent","calm",437821.7031,6490309.302,"light",4.471310732,0.434731418578784,"1"
"3","2008-05-08-N-008","2008-05-08-N-008","Norwegian Pearl","Starboard",1,18.12490146,354.5248521,"DF-Dive-fluke-up","excellent","1'",432495.0187,6503674.623,"light",-39.50511414,1.05172028632006,"1"
"4","2008-05-08-N-028","2008-05-08-N-028","Norwegian Pearl","Starboard",1,15.0545887,1818.140645,"DF-Dive-fluke-up","excellent","calm",423059.4396,6513497.617,"light",13.46622743,0.129452963725613,"1"
"5","2008-05-08-N-029","2008-05-08-N-029","Norwegian Pearl","Starboard",1,18.09060802,1359.656176,"DF-Dive-fluke-up","excellent","calm",437304.0514,6497848.867,"light",-6.05350705,1.04141914713209,"1"
"6","2008-05-08-N-032","2008-05-08-N-032","Norwegian Pearl","Starboard",1,15.85772028,634.3565128,"DF-Dive-fluke-up","excellent","calm",438976.9773,6489222.044,"light",-77.50107659,0.370699400123724,"1"
"7","2008-05-11-N-002","2008-05-11-N-002","Ryndam","Starboard",1,15.26069018,175.2535522,"DF-Dive-fluke-up","excellent","calm",440976.1693,6479043.464,"light",129.7036715,0.191362181124805,"1"
"8","2008-05-11-N-011","2008-05-11-N-011","Ryndam","Starboard",1,17.08704409,1814.328201,"BL-Blowing","excellent","calm",438078.399,6492207.644,"light",-24.98263133,0.739966399115156,"1"
"9","2008-05-11-N-018","2008-05-11-N-018","Ryndam","Starboard",2,17.17357139,4576.741462,"BL-Blowing","excellent","calm",438519.9376,6503183.594,"light",97.16961713,0.765957660442659,"2-3"
"10","2008-05-11-N-040","2008-05-11-N-040","Ryndam","Starboard",1,17.91447473,624.27711,"DF-Dive-fluke-up","excellent","calm",438706.3098,6490576.095,"light",-112.6939643,0.988511840780652,"1"
"11","2008-05-11-N-041","2008-05-11-N-041","Ryndam","Starboard",2,17.75120647,2276.036508,"DF-Dive-fluke-up","excellent","calm",440023.5938,6487298.84,"light",-59.78079254,0.939468960531914,"2-3"
"12","2008-05-11-N-100","2008-05-11-N-100","Ryndam","Starboard",2,17.17357139,4576.741462,"BL-Blowing","excellent","calm",438519.9376,6503183.594,"light",97.16961713,0.765957660442659,"2-3"
"13","2008-05-13-N-004","2008-05-13-N-004","Veendam","Port",1,17.3343273,634.9643161,"BL-Blowing","excellent","calm",439625.5784,6481046.909,"light",56.36177979,0.814245875453998,"1"
"14","2008-05-13-N-036","2008-05-13-N-036","Veendam","Port",1,16.60784944,449.8510227,"DF-Dive-fluke-up","excellent","1'",437615.9208,6488832.593,"moderate",73.32873466,0.596024852633396,"1"
"15","2008-05-25-N-005","2008-05-25-N-005","Ryndam","Starboard",1,15.8527109,1374.022804,"RE-Resting","excellent","calm",441310.608,6480390.801,"light",92.41044755,0.369194671504331,"1"
"16","2008-05-25-N-016","2008-05-25-N-016","Ryndam","Starboard",1,17.80625186,1658.186238,"SA-Surface-active","excellent","calm",438520.6883,6497234.626,"light",146.3023154,0.956003616257498,"1"
"17","2008-05-25-N-024","2008-05-25-N-024","Ryndam","Starboard",1,16.66706686,552.6917489,"BL-Blowing","excellent","calm",414822.4502,6522260.797,"light",100.3737324,0.613812711937459,"1"
"18","2008-05-25-N-043","2008-05-25-N-043","Ryndam","Starboard",1,15.1575027,84.86194866,"BL-Blowing","excellent","1'",391724.5857,6530566.62,"light",-79.26452839,0.160366498162243,"1"
"19","2008-05-25-N-053","2008-05-25-N-053","Ryndam","Starboard",1,16.83331037,2274.007719,"SA-Surface-active","excellent","1'",439352.1259,6487557.258,"light",-37.42830966,0.663749304347153,"1"
"20","2008-05-26-N-026","2008-05-26-N-026","Sapphire Princess","Port",1,18.97596474,212.2243234,"DF-Dive-fluke-up","excellent","1'",414582.7891,6521181.407,"moderate",4.92418879,1.30736455254265,"1"
"21","2008-05-26-N-034","2008-05-26-N-034","Sapphire Princess","Port",1,14.61334426,2711.333987,"SA-Surface-active","excellent","1'",438629.4917,6489432.669,"moderate",-6.325776269,-0.00308901492560635,"1"
"22","2008-05-28-N-002","2008-05-28-N-002","Statendam","Starboard",1,13.32966428,4558.636981,"DF-Dive-fluke-up","excellent","calm",438653.0146,6482800.134,"light",3.779673751,-0.388683640218012,"1"
"23","2008-05-28-N-005","2008-05-28-N-005","Statendam","Starboard",1,12.21352209,122.7685835,"DF-Dive-fluke-up","excellent","calm",439412.7171,6481936.384,"light",-4.08899004,-0.723952894418031,"1"
